"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.lathiere-finances.fr/217.160.0.80","443","INFO","HTTP","",""
"pre_128cipher","www.lathiere-finances.fr/217.160.0.80","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.lathiere-finances.fr/217.160.0.80","443","OK","not offered","",""
"SSLv3","www.lathiere-finances.fr/217.160.0.80","443","OK","not offered","",""
"TLS1","www.lathiere-finances.fr/217.160.0.80","443","INFO","not offered","",""
"TLS1_1","www.lathiere-finances.fr/217.160.0.80","443","INFO","not offered","",""
"TLS1_2","www.lathiere-finances.fr/217.160.0.80","443","OK","offered","",""
"TLS1_3","www.lathiere-finances.fr/217.160.0.80","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","www.lathiere-finances.fr/217.160.0.80","443","OK","h2","",""
"ALPN","www.lathiere-finances.fr/217.160.0.80","443","INFO","http/1.1","",""
"cipherlist_NULL","www.lathiere-finances.fr/217.160.0.80","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.lathiere-finances.fr/217.160.0.80","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.lathiere-finances.fr/217.160.0.80","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.lathiere-finances.fr/217.160.0.80","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.lathiere-finances.fr/217.160.0.80","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.lathiere-finances.fr/217.160.0.80","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.lathiere-finances.fr/217.160.0.80","443","OK","offered","",""
"cipherlist_STRONG_FS","www.lathiere-finances.fr/217.160.0.80","443","OK","offered","",""
"cipher_order-tls1_2","www.lathiere-finances.fr/217.160.0.80","443","OK","server","",""
"cipherorder_TLSv1_2","www.lathiere-finances.fr/217.160.0.80","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.lathiere-finances.fr/217.160.0.80","443","OK","server","",""
"FS","www.lathiere-finances.fr/217.160.0.80","443","OK","offered","",""
"FS_ciphers","www.lathiere-finances.fr/217.160.0.80","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.lathiere-finances.fr/217.160.0.80","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.lathiere-finances.fr/217.160.0.80","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'encrypt-then-mac/#22' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","www.lathiere-finances.fr/217.160.0.80","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.lathiere-finances.fr/217.160.0.80","443","INFO","yes","",""
"sessionresumption_ticket","www.lathiere-finances.fr/217.160.0.80","443","INFO","not supported","",""
"sessionresumption_ID","www.lathiere-finances.fr/217.160.0.80","443","INFO","not supported","",""
"TLS_timestamp","www.lathiere-finances.fr/217.160.0.80","443","INFO","random","",""
"cert_compression","www.lathiere-finances.fr/217.160.0.80","443","INFO","N/A","",""
"clientAuth","www.lathiere-finances.fr/217.160.0.80","443","INFO","none","",""
"cert_numbers","www.lathiere-finances.fr/217.160.0.80","443","INFO","1","",""
"cert_signatureAlgorithm","www.lathiere-finances.fr/217.160.0.80","443","OK","SHA256 with RSA","",""
"cert_keySize","www.lathiere-finances.fr/217.160.0.80","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.lathiere-finances.fr/217.160.0.80","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLS Web Client Authentication, TLS Web Server Authentication","",""
"cert_serialNumber","www.lathiere-finances.fr/217.160.0.80","443","INFO","0F7E7687597A1B3CCB12A9189C0A040A","",""
"cert_serialNumberLen","www.lathiere-finances.fr/217.160.0.80","443","INFO","16","",""
"cert_fingerprintSHA1","www.lathiere-finances.fr/217.160.0.80","443","INFO","5E8D5E4C25810A1EDDB22E72C35780C5A35D41C8","",""
"cert_fingerprintSHA256","www.lathiere-finances.fr/217.160.0.80","443","INFO","2654B0835123FC33BF0A6B91C2A770D6E1396AEE61125C514797F20A4EB9641A","",""
"cert","www.lathiere-finances.fr/217.160.0.80","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGRjCCBS6gAwIBAgIQD352h1l6GzzLEqkYnAoECjANBgkqhkiG9w0BAQsFADBgMQswCQYDVQQGEwJVUzEVMBMGA1UEChMMRGlnaUNlcnQgSW5jMRkwFwYDVQQLExB3d3cuZGlnaWNlcnQuY29tMR8wHQYDVQQDExZHZW9UcnVzdCBUTFMgUlNBIENBIEcxMB4XDTIzMDkxMDAwMDAwMFoXDTI0MDkwOTIzNTk1OVowIzEhMB8GA1UEAxMYd3d3LmxhdGhpZXJlLWZpbmFuY2VzLmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAzLgFUAAhJVff3DfhoC+v1bXz97vJPqGOqScIVmP0UTuPgh3+sG/CI2eyeZyH4f9Bq+8MwvLY5JYBXo39BU2LTcyHnAKBTw56LQL3bk7es9Tq75LBUc7dixaDt460WWKMnh4pmPjCsTIrKA5Jyiiwsml3Yz8AF39XRqZqYmAJc8BtXGbazVY53J6bUzGVmSFSgEdBDVeyT13hn+bNCSeWftW5KxSrNn/Iwe6MlSMbdLaFlZk2hLO47PLt0b8mYzLtKt11x1CWZdTKiWgNc1RFcPJmQq5ACATA/nzGX0g2t/wx3VQQ529iq+qQxlw+aM/3WMAG5YfETpJ9G+43qSaMdQIDAQABo4IDNzCCAzMwHwYDVR0jBBgwFoAUlE/UXYvkpOKmgP792PkA76O+AlcwHQYDVR0OBBYEFFye9TfetBlrkftN6dpkuH+83jX/MDkGA1UdEQQyMDCCGHd3dy5sYXRoaWVyZS1maW5hbmNlcy5mcoIUbGF0aGllcmUtZmluYW5jZXMuZnIwPgYDVR0gBDcwNTAzBgZngQwBAgEwKTAnBggrBgEFBQcCARYbaHR0cDovL3d3dy5kaWdpY2VydC5jb20vQ1BTMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAgYIKwYBBQUHAwEwPwYDVR0fBDgwNjA0oDKgMIYuaHR0cDovL2NkcC5nZW90cnVzdC5jb20vR2VvVHJ1c3RUTFNSU0FDQUcxLmNybDB2BggrBgEFBQcBAQRqMGgwJgYIKwYBBQUHMAGGGmh0dHA6Ly9zdGF0dXMuZ2VvdHJ1c3QuY29tMD4GCCsGAQUFBzAChjJodHRwOi8vY2FjZXJ0cy5nZW90cnVzdC5jb20vR2VvVHJ1c3RUTFNSU0FDQUcxLmNydDAMBgNVHRMBAf8EAjAAMIIBfgYKKwYBBAHWeQIEAgSCAW4EggFqAWgAdgB2/4g/Crb7lVHCYcz1h7o0tKTNuyncaEIKn+ZnTFo6dAAAAYp/SzaQAAAEAwBHMEUCIChbxXsRV/H/gMJuWOH/MtPjwgYcYtoeKDp0tiq69KeJAiEA3xVDekEoc5Y682/oAOgFHGKLwxdZM9u2Vztffh1QZz8AdwBIsONr2qZHNA/lagL6nTDrHFIBy1bdLIHZu7+rOdiEcwAAAYp/SzZdAAAEAwBIMEYCIQC9wmJnrYToIy6VssI4pC726TWI4keH1BMtfLtpQnJhHQIhAJLsmbAo743ULvItnfPaZxR4ADdJvTFAyFRDdYKbSMehAHUA2ra/az+1tiKfm8K7XGvocJFxbLtRhIU0vaQ9MEjX+6sAAAGKf0s2cwAABAMARjBEAiBDpZZuAhhJo9Z8eUXPbF6vlrodRsLIQcIQkeMs07tjfQIgHw+4nfrFnc2sWcJZtpydQcUE5+popu0eMvlXPAqvu9cwDQYJKoZIhvcNAQELBQADggEBACOuGACIkQjlSICV69Cva4G3vlMSzRLFnQCLMa8kZfeCvCOyesLqB+QOqCCx0QG93/hqUXcta/1rSfbFyZinmInADlBgNMn85iMZWt+txT2vSE8q86mfO6UlUTJjQBA6S1pPrNguqIcfu6arTnYPti7Y67iN3arPT7suu3mKMSGjKWgfb5k24XiDPzYwmempEbTvYHLfEfnFMlAS/6IzE4iTo1izthduRiYzoWIBXIewA3Kveqc9CtngdLnw8RzZea0FcrG8NHZdzDaia0yFSStaqhNnD+HZ+r0ve3cuwpTQ/Lg6VDe04xSUGd1cJJjMh+WZkmKJinU+oCO9HN9Qt08=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.lathiere-finances.fr/217.160.0.80","443","OK","www.lathiere-finances.fr","",""
"cert_commonName_wo_SNI","www.lathiere-finances.fr/217.160.0.80","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","www.lathiere-finances.fr/217.160.0.80","443","INFO","www.lathiere-finances.fr lathiere-finances.fr","",""
"cert_trust","www.lathiere-finances.fr/217.160.0.80","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.lathiere-finances.fr/217.160.0.80","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.lathiere-finances.fr/217.160.0.80","443","INFO","no","",""
"cert_expirationStatus","www.lathiere-finances.fr/217.160.0.80","443","OK","169 >= 60 days","",""
"cert_notBefore","www.lathiere-finances.fr/217.160.0.80","443","INFO","2023-09-10 00:00","",""
"cert_notAfter","www.lathiere-finances.fr/217.160.0.80","443","OK","2024-09-09 23:59","",""
"cert_extlifeSpan","www.lathiere-finances.fr/217.160.0.80","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.lathiere-finances.fr/217.160.0.80","443","INFO","not present","",""
"cert_crlDistributionPoints","www.lathiere-finances.fr/217.160.0.80","443","INFO","http://cdp.geotrust.com/GeoTrustTLSRSACAG1.crl","",""
"cert_ocspURL","www.lathiere-finances.fr/217.160.0.80","443","INFO","http://status.geotrust.com","",""
"OCSP_stapling","www.lathiere-finances.fr/217.160.0.80","443","OK","offered","",""
"cert_ocspRevoked","www.lathiere-finances.fr/217.160.0.80","443","OK","not revoked","",""
"cert_mustStapleExtension","www.lathiere-finances.fr/217.160.0.80","443","INFO","--","",""
"DNS_CAArecord","www.lathiere-finances.fr/217.160.0.80","443","LOW","--","",""
"certificate_transparency","www.lathiere-finances.fr/217.160.0.80","443","OK","yes (certificate extension)","",""
"certs_countServer","www.lathiere-finances.fr/217.160.0.80","443","INFO","2","",""
"certs_list_ordering_problem","www.lathiere-finances.fr/217.160.0.80","443","INFO","no","",""
"cert_caIssuers","www.lathiere-finances.fr/217.160.0.80","443","INFO","GeoTrust TLS RSA CA G1 (DigiCert Inc from US)","",""
"intermediate_cert <#1>","www.lathiere-finances.fr/217.160.0.80","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEjTCCA3WgAwIBAgIQDQd4KhM/xvmlcpbhMf/ReTANBgkqhkiG9w0BAQsFADBhMQswCQYDVQQGEwJVUzEVMBMGA1UEChMMRGlnaUNlcnQgSW5jMRkwFwYDVQQLExB3d3cuZGlnaWNlcnQuY29tMSAwHgYDVQQDExdEaWdpQ2VydCBHbG9iYWwgUm9vdCBHMjAeFw0xNzExMDIxMjIzMzdaFw0yNzExMDIxMjIzMzdaMGAxCzAJBgNVBAYTAlVTMRUwEwYDVQQKEwxEaWdpQ2VydCBJbmMxGTAXBgNVBAsTEHd3dy5kaWdpY2VydC5jb20xHzAdBgNVBAMTFkdlb1RydXN0IFRMUyBSU0EgQ0EgRzEwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC+F+jsvikKy/65LWEx/TMkCDIuWegh1Ngwvm4QyISgP7oU5d79eoySG3vOhC3w/3jEMuipoH1fBtp7m0tTpsYbAhch4XA7rfuD6whUgajeErLVxoiWMPkC/DnUvbgi74BJmdBiuGHQSd7LwsuXpTEGG9fYXcbTVN5SATYqDfbexbYxTMwVJWoVb6lrBEgM3gBBqiiAiy800xu1Nq07JdCIQkBsNpFtZbIZhsDSfzlGWP4wEmBQ3O67c+ZXkFr2DcrXBEtHam80Gp2SNhou2U5U7UesDL/xgLK6/0d76TnEVMSUVJkZ8VeZr+IUIlvoLrtjLbqugb0T3OYXW+CQU0kBAgMBAAGjggFAMIIBPDAdBgNVHQ4EFgQUlE/UXYvkpOKmgP792PkA76O+AlcwHwYDVR0jBBgwFoAUTiJUIBiV5uNu5g/6+rkS7QYXjzkwDgYDVR0PAQH/BAQDAgGGMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjASBgNVHRMBAf8ECDAGAQH/AgEAMDQGCCsGAQUFBwEBBCgwJjAkBggrBgEFBQcwAYYYaHR0cDovL29jc3AuZGlnaWNlcnQuY29tMEIGA1UdHwQ7MDkwN6A1oDOGMWh0dHA6Ly9jcmwzLmRpZ2ljZXJ0LmNvbS9EaWdpQ2VydEdsb2JhbFJvb3RHMi5jcmwwPQYDVR0gBDYwNDAyBgRVHSAAMCowKAYIKwYBBQUHAgEWHGh0dHBzOi8vd3d3LmRpZ2ljZXJ0LmNvbS9DUFMwDQYJKoZIhvcNAQELBQADggEBAIIcBDqC6cWpyGUSXAjjAcYwsK4iiGF7KweG97i1RJz1kwZhRoo6orU1JtBYnjzBc4+/sXmnHJk3mlPyL1xuIAt9sMeC7+vreRIF5wFBC0MCN5sbHwhNN1JzKbifNeP5ozpZdQFmkCo+neBiKR6HqIA+LMTMCMMuv2khGGuPHmtDze4GmEGZtYLyF8EQpa5YjPuV6k2Cr/N3XxFpT3hRpt/3usU/Zb9wfKPtWpoznZ4/44c1p9rzFcZYrWkj3A+7TNBJE0GmP2fhXhP1D/XVfIW/h0yCJGEiV9Glm/uGOa3DXHlmbAcxSyCRraG+ZBkA7h4SeM6Y8l/7MBRpPCz6l8Y=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","www.lathiere-finances.fr/217.160.0.80","443","INFO","C06E307F7CFC1D32FA72A4C033C87B90019AF216F0775D64978A2ECA6C8A230E","",""
"intermediate_cert_notBefore <#1>","www.lathiere-finances.fr/217.160.0.80","443","INFO","2017-11-02 12:23","",""
"intermediate_cert_notAfter <#1>","www.lathiere-finances.fr/217.160.0.80","443","OK","2027-11-02 12:23","",""
"intermediate_cert_expiration <#1>","www.lathiere-finances.fr/217.160.0.80","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","www.lathiere-finances.fr/217.160.0.80","443","INFO","GeoTrust TLS RSA CA G1 <-- DigiCert Global Root G2","",""
"intermediate_cert_badOCSP","www.lathiere-finances.fr/217.160.0.80","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","www.lathiere-finances.fr/217.160.0.80","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","www.lathiere-finances.fr/217.160.0.80","443","INFO","-1 seconds from localtime","",""
"HTTP_headerTime","www.lathiere-finances.fr/217.160.0.80","443","INFO","1711243027","",""
"HSTS","www.lathiere-finances.fr/217.160.0.80","443","LOW","not offered","",""
"HPKP","www.lathiere-finances.fr/217.160.0.80","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","www.lathiere-finances.fr/217.160.0.80","443","INFO","Apache","",""
"banner_application","www.lathiere-finances.fr/217.160.0.80","443","INFO","No application banner found","",""
"cookie_count","www.lathiere-finances.fr/217.160.0.80","443","INFO","1 at '/'","",""
"cookie_secure","www.lathiere-finances.fr/217.160.0.80","443","OK","All (1) at '/' marked as secure","",""
"cookie_httponly","www.lathiere-finances.fr/217.160.0.80","443","INFO","1/1 at '/' marked as HttpOnly","",""
"X-Content-Type-Options","www.lathiere-finances.fr/217.160.0.80","443","OK","nosniff","",""
"Content-Security-Policy-Report-Only","www.lathiere-finances.fr/217.160.0.80","443","OK","default-src *;script-src 'unsafe-inline' 'unsafe-eval' *;style-src 'unsafe-inline' *;connect-src * blob:;report-uri https://cdn.website-start.de/app/reporting/policyviolation/submit","",""
"X-XSS-Protection","www.lathiere-finances.fr/217.160.0.80","443","INFO","0;report=https://cdn.website-start.de/app/reporting/policyviolation/submit","",""
"Cache-Control","www.lathiere-finances.fr/217.160.0.80","443","INFO","no-store, no-cache, must-revalidate, post-check=0, pre-check=0","",""
"Pragma","www.lathiere-finances.fr/217.160.0.80","443","INFO","no-cache","",""
"banner_reverseproxy","www.lathiere-finances.fr/217.160.0.80","443","INFO","--","","CWE-200"
"heartbleed","www.lathiere-finances.fr/217.160.0.80","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","www.lathiere-finances.fr/217.160.0.80","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","www.lathiere-finances.fr/217.160.0.80","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","www.lathiere-finances.fr/217.160.0.80","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www.lathiere-finances.fr/217.160.0.80","443","OK","supported","","CWE-310"
"secure_client_renego","www.lathiere-finances.fr/217.160.0.80","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","www.lathiere-finances.fr/217.160.0.80","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","www.lathiere-finances.fr/217.160.0.80","443","MEDIUM","potentially VULNERABLE, gzip deflate HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","www.lathiere-finances.fr/217.160.0.80","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","www.lathiere-finances.fr/217.160.0.80","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","www.lathiere-finances.fr/217.160.0.80","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","www.lathiere-finances.fr/217.160.0.80","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www.lathiere-finances.fr/217.160.0.80","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","www.lathiere-finances.fr/217.160.0.80","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=2654B0835123FC33BF0A6B91C2A770D6E1396AEE61125C514797F20A4EB9641A","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","www.lathiere-finances.fr/217.160.0.80","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","www.lathiere-finances.fr/217.160.0.80","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","www.lathiere-finances.fr/217.160.0.80","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","www.lathiere-finances.fr/217.160.0.80","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","www.lathiere-finances.fr/217.160.0.80","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","www.lathiere-finances.fr/217.160.0.80","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_X","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_11","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_12","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-chrome_79_win10","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-chrome_101_win10","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-firefox_66_win81","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-firefox_100_win10","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_6_xp","www.lathiere-finances.fr/217.160.0.80","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","www.lathiere-finances.fr/217.160.0.80","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","www.lathiere-finances.fr/217.160.0.80","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA256","",""
"clientsimulation-ie_11_win81","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA256","",""
"clientsimulation-ie_11_winphone81","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA256","",""
"clientsimulation-ie_11_win10","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-safari_121_ios_122","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-safari_130_osx_10146","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-safari_154_osx_1231","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java_7u25","www.lathiere-finances.fr/217.160.0.80","443","INFO","No connection","",""
"clientsimulation-java_8u161","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java1102","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java1703","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-go_1178","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-libressl_283","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_102e","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_110l","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_111d","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_303","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-apple_mail_16_0","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","www.lathiere-finances.fr/217.160.0.80","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"rating_spec","www.lathiere-finances.fr/217.160.0.80","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","www.lathiere-finances.fr/217.160.0.80","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","www.lathiere-finances.fr/217.160.0.80","443","INFO","100","",""
"protocol_support_score_weighted","www.lathiere-finances.fr/217.160.0.80","443","INFO","30","",""
"key_exchange_score","www.lathiere-finances.fr/217.160.0.80","443","INFO","90","",""
"key_exchange_score_weighted","www.lathiere-finances.fr/217.160.0.80","443","INFO","27","",""
"cipher_strength_score","www.lathiere-finances.fr/217.160.0.80","443","INFO","60","",""
"cipher_strength_score_weighted","www.lathiere-finances.fr/217.160.0.80","443","INFO","24","",""
"final_score","www.lathiere-finances.fr/217.160.0.80","443","INFO","81","",""
"overall_grade","www.lathiere-finances.fr/217.160.0.80","443","OK","A","",""
"grade_cap_reason_1","www.lathiere-finances.fr/217.160.0.80","443","INFO","Grade capped to A. HSTS is not offered","",""
